PM2.5,PM10,NO2,NH3,SO2,CO,O3,city,AQI,AQI_Category,date,year,month,day,day_of_week,quarter,season,AQI_lag1,AQI_lag3,AQI_lag7,AQI_roll7_mean
43.67,134.0,20.28,11.75,3.27,0.96,23.31,Bengaluru,122.7,Moderate,2020-01-01,2020,1,1,2,1,Winter,,,,
43.67,134.0,20.28,10.98,3.41,0.91,21.82,Bengaluru,122.7,Moderate,2020-01-02,2020,1,2,3,1,Winter,122.7,,,122.7
30.58,74.42,15.17,12.1,3.27,0.96,23.31,Bengaluru,74.4,Satisfactory,2020-01-03,2020,1,3,4,1,Winter,122.7,,,122.7
66.35,155.68,42.9,11.75,3.26,2.54,29.7,Bengaluru,137.1,Moderate,2020-01-04,2020,1,4,5,1,Winter,74.4,122.7,,106.60000000000001
48.0,99.13,18.56,9.79,2.95,1.14,31.01,Bengaluru,99.1,Satisfactory,2020-01-05,2020,1,5,6,1,Winter,137.1,122.7,,114.225
23.75,63.34,17.21,7.4,2.82,1.08,25.82,Bengaluru,63.3,Satisfactory,2020-01-06,2020,1,6,0,1,Winter,99.1,74.4,,111.2
24.67,72.0,17.2,7.66,2.97,0.98,30.37,Bengaluru,72.0,Satisfactory,2020-01-07,2020,1,7,1,1,Winter,63.3,137.1,,103.21666666666665
34.18,79.06,18.16,9.35,2.99,0.99,29.61,Bengaluru,79.1,Satisfactory,2020-01-08,2020,1,8,2,1,Winter,72.0,99.1,122.7,98.75714285714285
41.61,98.0,21.49,11.21,2.98,1.11,30.97,Bengaluru,98.0,Satisfactory,2020-01-09,2020,1,9,3,1,Winter,79.1,63.3,122.7,92.52857142857142
38.95,97.7,19.77,12.8,3.34,0.97,31.89,Bengaluru,97.7,Satisfactory,2020-01-10,2020,1,10,4,1,Winter,98.0,72.0,74.4,89.0
34.05,77.56,21.34,12.08,3.07,1.01,34.36,Bengaluru,77.6,Satisfactory,2020-01-11,2020,1,11,5,1,Winter,97.7,79.1,137.1,92.32857142857142
39.12,75.93,17.88,16.07,2.96,0.96,44.84,Bengaluru,75.9,Satisfactory,2020-01-12,2020,1,12,6,1,Winter,77.6,98.0,99.1,83.82857142857142
38.475,85.28,20.555,12.440000000000001,3.205,0.965,33.125,Bengaluru,85.3,Satisfactory,2020-01-13,2020,1,13,0,1,Winter,75.9,97.7,63.3,80.51428571428572
38.56,85.28,26.035,13.405000000000001,3.135,0.985,30.555,Bengaluru,85.3,Satisfactory,2020-01-14,2020,1,14,1,1,Winter,85.3,77.6,72.0,83.65714285714286
38.56,84.465,24.305,13.34,3.1900000000000004,0.99,28.884999999999998,Bengaluru,84.5,Satisfactory,2020-01-15,2020,1,15,2,1,Winter,85.3,75.9,79.1,85.55714285714285
38.0,93.0,45.15,11.95,3.95,0.68,16.18,Bengaluru,93.0,Satisfactory,2020-01-16,2020,1,16,3,1,Winter,84.5,85.3,98.0,86.32857142857142
42.96,112.6,30.73,14.73,3.2,1.38,26.75,Bengaluru,108.4,Moderate,2020-01-17,2020,1,17,4,1,Winter,93.0,85.3,97.7,85.61428571428571
26.8,59.0,16.92,11.34,3.18,1.02,31.02,Bengaluru,59.0,Satisfactory,2020-01-18,2020,1,18,5,1,Winter,108.4,84.5,77.6,87.14285714285714
22.19,56.56,12.35,8.4,3.19,0.97,39.56,Bengaluru,56.6,Satisfactory,2020-01-19,2020,1,19,6,1,Winter,59.0,93.0,75.9,84.4857142857143
34.24,100.22,26.62,9.03,3.23,1.1,31.6,Bengaluru,100.1,Moderate,2020-01-20,2020,1,20,0,1,Winter,56.6,108.4,85.3,81.72857142857143
37.5,102.51,33.74,9.73,3.25,1.16,29.45,Bengaluru,101.7,Moderate,2020-01-21,2020,1,21,1,1,Winter,100.1,59.0,85.3,83.84285714285714
34.48,86.75,26.2,9.86,3.22,1.11,34.25,Bengaluru,86.8,Satisfactory,2020-01-22,2020,1,22,2,1,Winter,101.7,56.6,84.5,86.18571428571428
46.65,98.18,20.54,9.95,3.19,1.09,33.52,Bengaluru,98.2,Satisfactory,2020-01-23,2020,1,23,3,1,Winter,86.8,100.1,93.0,86.51428571428572
38.05,96.7,40.46,8.42,2.87,1.16,40.62,Bengaluru,96.7,Satisfactory,2020-01-24,2020,1,24,4,1,Winter,98.2,101.7,108.4,87.25714285714285
48.78,112.69,41.56,9.77,2.86,1.26,29.72,Bengaluru,108.5,Moderate,2020-01-25,2020,1,25,5,1,Winter,96.7,86.8,59.0,85.58571428571429
51.86,111.57,41.8,12.05,2.81,1.29,25.68,Bengaluru,107.7,Moderate,2020-01-26,2020,1,26,6,1,Winter,108.5,98.2,56.6,92.65714285714286
74.23,169.38,48.11,15.29,2.88,1.97,25.19,Bengaluru,147.4,Moderate,2020-01-27,2020,1,27,0,1,Winter,107.7,96.7,100.1,99.95714285714287
61.95,162.59,53.65,12.5,2.89,1.62,24.9,Bengaluru,141.7,Moderate,2020-01-28,2020,1,28,1,1,Winter,147.4,108.5,101.7,106.71428571428571
59.67,140.87,40.89,12.73,2.78,1.39,25.4,Bengaluru,127.2,Moderate,2020-01-29,2020,1,29,2,1,Winter,141.7,107.7,86.8,112.42857142857143
72.46,191.19,63.83,13.42,2.83,1.93,24.72,Bengaluru,160.8,Moderate,2020-01-30,2020,1,30,3,1,Winter,127.2,147.4,98.2,118.2
53.61,133.86,33.53,12.63,2.91,1.31,36.37,Bengaluru,122.6,Moderate,2020-01-31,2020,1,31,4,1,Winter,160.8,141.7,96.7,127.14285714285714
57.62,112.99,16.11,12.28,3.17,0.99,40.39,Bengaluru,108.7,Moderate,2020-02-01,2020,2,1,5,1,Winter,122.6,127.2,108.5,130.84285714285713
41.16,82.0,11.26,9.53,2.82,0.9,30.25,Bengaluru,82.0,Satisfactory,2020-02-02,2020,2,2,6,1,Winter,108.7,160.8,107.7,130.87142857142857
36.32,89.84,26.36,8.44,2.73,1.06,36.14,Bengaluru,89.8,Satisfactory,2020-02-03,2020,2,3,0,1,Winter,82.0,122.6,147.4,127.2
34.42,90.27,20.24,8.8,2.58,1.06,37.66,Bengaluru,90.3,Satisfactory,2020-02-04,2020,2,4,1,1,Winter,89.8,108.7,141.7,118.97142857142856
34.2,82.97,19.62,8.91,2.66,1.04,34.19,Bengaluru,83.0,Satisfactory,2020-02-05,2020,2,5,2,1,Winter,90.3,82.0,127.2,111.62857142857142
45.36,101.46,30.66,9.39,2.62,1.28,32.46,Bengaluru,101.0,Moderate,2020-02-06,2020,2,6,3,1,Winter,83.0,89.8,160.8,105.31428571428572
60.29,132.17,35.42,10.61,2.87,1.29,36.41,Bengaluru,121.4,Moderate,2020-02-07,2020,2,7,4,1,Winter,101.0,90.3,122.6,96.77142857142859
56.24,133.18,33.64,10.11,2.66,1.38,34.83,Bengaluru,122.1,Moderate,2020-02-08,2020,2,8,5,1,Winter,121.4,83.0,108.7,96.60000000000001
42.09,85.5,15.75,9.15,2.91,0.96,43.23,Bengaluru,85.5,Satisfactory,2020-02-09,2020,2,9,6,1,Winter,122.1,101.0,82.0,98.51428571428572
36.13,84.37,17.08,8.11,2.66,1.02,35.28,Bengaluru,84.4,Satisfactory,2020-02-10,2020,2,10,0,1,Winter,85.5,121.4,89.8,99.01428571428572
38.0,95.19,26.81,7.61,2.66,1.09,36.65,Bengaluru,95.2,Satisfactory,2020-02-11,2020,2,11,1,1,Winter,84.4,122.1,90.3,98.24285714285715
37.86,85.53,21.52,7.51,2.67,1.02,31.28,Bengaluru,85.5,Satisfactory,2020-02-12,2020,2,12,2,1,Winter,95.2,85.5,83.0,98.94285714285714
39.13,100.44,39.89,7.81,2.75,1.28,38.64,Bengaluru,100.3,Moderate,2020-02-13,2020,2,13,3,1,Winter,85.5,84.4,101.0,99.29999999999998
52.4,125.07,49.16,10.45,2.7,1.87,40.61,Bengaluru,116.7,Moderate,2020-02-14,2020,2,14,4,1,Winter,100.3,95.2,121.4,99.2
56.35,130.38,55.33,10.87,2.78,1.62,33.98,Bengaluru,120.3,Moderate,2020-02-15,2020,2,15,5,1,Winter,116.7,85.5,122.1,98.52857142857144
41.71,91.29,38.35,9.35,2.83,1.12,34.55,Bengaluru,91.3,Satisfactory,2020-02-16,2020,2,16,6,1,Winter,120.3,100.3,85.5,98.27142857142857
